english,tamil,syllables
adhittam,அதிட்டம்,4
adhittaanam,அதிட்டானம்,5
adhidhaaram,அதிதாரம்,5
athithi,அதிதி,2
athithińaaL,அதிதிநாள்,5
aththipoojai,அத்திபூஜை,4
athidhaevadhai,அதிதேவதை,5
adhipadhi,அதிபதி,4
adhipalai,அதிபலை,4
adhiban,அதிபன்,4
adhimadhuram,அதிமதுரம்,6
adhiyamaan,அதியமான்,5
adhiyar,அதியர்,4
adhiyan,அதியன்,4
adhir,அதிர்,3
adhirchchi,அதிர்ச்சி,3
adhirvu,அதிர்வு,3
adhirvedi,அதிர்வெடி,4
adhivaettu,அதிவேட்டு,4
adhirasam,அதிரசம்,5
adhiradi,அதிரடி,4
adhiradippadai,அதிரடிப்படை,6
adhiradhan,அதிரதன்,5
adhiral,அதிரல்,4
adhiruttam,அதிருட்டம்,5
athirupthi,அதிருப்தி,4
athirupthiyaaLar,அதிருப்தியாளர்,7
adhirushttam,அதிருஷ்ட்டம்,5
adhiraegam,அதிரேகம்,5
adhivirutti,அதிவிருட்டி,5
adhivirushti,அதிவிருஷ்டி,5
adheetham,அதீதம்,4
adheethar,அதீதர்,4
adheenam,அதீனம்,4
adhu,அது,2
adhukku,அதுக்கு,3
adhukaaRum,அதுகாறும்,5
adhumbu,அதும்பு,3
athulam,அதுலம்,4
adheńdhu,அதெந்து,3
adhaippu,அதைப்பு,3
adhairiyam,அதைரியம்,5
adhoa,அதோ,2
adhoagadhi,அதோகதி,4
adhoamugam,அதோமுகம்,5
athoaraNan,அதோரணன்,5
athoaL,அதோள்,3
athoaLi,அதோளி,3
ańdha,அந்த,2
ańdhakkaraNam,அந்தக்கரணம்,6
ańdhagan,அந்தகன்,4
ańdhakaaram,அந்தகாரம்,5
ańdhakaari,அந்தகாரி,4
ańdhaNdai,அந்தண்டை,3
ańdhaNan,அந்தணன்,4
ańdhaNaaLan,அந்தணாளன்,5
ańdhańdha,அந்தந்த,3
ańdhappuram,அந்தப்புரம்,5
ańtham,அந்தம்,3
ańtharkadham,அந்தர்கதம்,5
ańthardhaanam,அந்தர்தானம்,5
ańtharmugam,அந்தர்முகம்,5
ańtharyaami,அந்தர்யாமி,4
ańtharvaahini,அந்தர்வாஹினி,5
ańtharakkottu,அந்தரக்கொட்டு,5
ańtharangam,அந்தரங்கம்,5
ańtharasaari,அந்தரசாரி,5
ańdharadi,அந்தரடி,4
ańdharathuńdhubi,அந்தரதுந்துபி,6
ańtharańadhi ,அந்தரநதி ,6
ańtharam,அந்தரம்,4
ańtharar,அந்தரர்,4
ańtharaathmaa,அந்தராத்மா,4
ańthari,அந்தரி,3
ańthariyaami,அந்தரியாமி,5
ańthaLam,அந்தளம்,4
ańthan,அந்தன்,3
ańdhaadhi,அந்தாதி,3
ańdhi,அந்தி,2
ańdhikkadai,அந்திக்கடை,4
ańdhikkaappu,அந்திக்காப்பு,4
ańdhikkaalam,அந்திக்காலம்,5
ańdhisańdhi,அந்திசந்தி,4
ańdhińatchaththiram,அந்திநட்சத்திரம்,7
ańdhippozhdhu,அந்திப்பொழ்து,4
ańdhippagal,அந்திப்பகல்,5
ańthimakaalam,அந்திமகாலம்,6
ańthimadhasai,அந்திமதசை,5
ańdhimańdhaaram,அந்திமந்தாரம்,6
ańdhimańdhaarai,அந்திமந்தாரை,5
ańthimam,அந்திமம்,4
ańdhimaalai,அந்திமாலை,4
ańdhiyakkiriyai,அந்தியக்கிரியை,6
ańthiyakaalam,அந்தியகாலம்,6
ańdhil,அந்தில்,3
ańdhivaNNan,அந்திவண்ணன்,5
ańdhu,அந்து,2
ańdhugam,அந்துகம்,4
ańdhoa,அந்தோ,2
ańńiyaputtam,அந்நியபுட்டம்,6
ańńiyam,அந்நியம்,4
ańńiyamaakku,அந்நியமாக்கு,5
ańńiyar,அந்நியர்,4
ańagan,அநகன்,4
ańangam,அநங்கம்,4
ańangan,அநங்கன்,4
ańaththam,அநத்தம்,4
ańaththiyayanam,அநத்தியயனம்,7
ańańthasayanan,அநந்தசயனன்,7
ańańtham,அநந்தம்,4
ańabaayan,அநபாயன்,5
ańalam,அநலம்,4
ańavaradham,அநவரதம்,6
ańavaradhamum,அநவரதமும்,7
ańaagarigam,அநாகரிகம்,6
ańaachaaram,அநாசாரம்,5
ańaadharatchagan,அநாதரட்சகன்,7
ańaadhi,அநாதி,3
ańaadhai,அநாதை,3
ańaamadhaeyan,அநாமதேயன்,6
ańaamikai,அநாமிகை,4
ańaayagam,அநாயகம்,5
ańaayaasam,அநாயாசம்,5
ańaavasiyam,அநாவசியம்,6
ańaavirutti,அநாவிருட்டி,5
ańaavirushti,அநாவிருஷ்டி,5
ańigam,அநிகம்,4
ańichchai,அநிச்சை,3
ańiththam,அநித்தம்,4
ańiththiyam,அநித்தியம்,5
ańiyaayam,அநியாயம்,5
ańilam,அநிலம்,4
ańeedhi,அநீதி,3
ańuggiragam,அநுக்கிரகம்,6
ańukaraNavoasai,அநுகரணவோசை,7
ańukoolam,அநுகூலம்,5
ańusańdhaanam,அநுசந்தானம்,6
ańusaraNai,அநுசரணை,5
ańusari,அநுசரி,4
ańusan,அநுசன்,4
ańuchidham,அநுசிதம்,5
ańuttaanam,அநுட்டானம்,5
ańudhaabam,அநுதாபம்,5
ańudhinam,அநுதினம்,5
ańudhinamum,அநுதினமும்,6
ańubańdham,அநுபந்தம்,5
ańupallavi,அநுபல்லவி,5
ańubavam,அநுபவம்,5
ańubavi,அநுபவி,4
ańubaanam,அநுபானம்,5
ańuboodhi,அநுபூதி,4
ańumadhi,அநுமதி,4
ańuman,அநுமன்,4
ańumaan,அநுமான்,4
ańumaanam,அநுமானம்,5
ańumaani,அநுமானி,4
ańuraagam,அநுராகம்,5
ańuloaman,அநுலோமன்,5
ańujan,அநுஜன்,4
ańushtaanam,அநுஷ்டானம்,5
ańaegam,அநேகம்,4
ańaegamaaga,அநேகமாக,5
apsarasu,அப்சரசு,4
apdhapoorththi,அப்தபூர்த்தி,4
apdham,அப்தம்,3
appachchi,அப்பச்சி,3
appattam,அப்பட்டம்,4
appadi,அப்படி,3
appaNai,அப்பணை,3
appappa,அப்பப்ப,3
appappaa,அப்பப்பா,3
appam,அப்பம்,3
appar,அப்பர்,3
appazhakku,அப்பழக்கு,4
appaLam,அப்பளம்,4
appaLaam,அப்பளாம்,4
appan,அப்பன்,3
appaa,அப்பா,2
appaadaa,அப்பாடா,3
appaadi,அப்பாடி,3
appaal,அப்பால்,3
appaavi,அப்பாவி,3
appaaRpadu,அப்பாற்படு,4
abyangam,அப்யங்கம்,4
abyanganam,அப்யங்கனம்,5
abbiyasi,அப்பியசி,4
abbiyaasam,அப்பியாசம்,5
appiragam,அப்பிரகம்,5
appirasiththam,அப்பிரசித்தம்,6
appiradhatchiNam,அப்பிரதட்சிணம்,7
appiraaNi,அப்பிராணி,4
appu,அப்பு,2
appulingam,அப்புலிங்கம்,5
appuRappaduththu,அப்புறப்படுத்து,6
appuRam,அப்புறம்,4
appoochchikaattu,அப்பூச்சிகாட்டு,5
appozhudhu,அப்பொழுது,4
appoadhu,அப்போது,3
appoadhaikkappoadhu,அப்போதைக்கப்போது,6
appoadhaikku,அப்போதைக்கு,4
appoazhdhu,அப்போழ்து,3
abakyaadhi,அபக்யாதி,4
apakkuvam,அபக்குவம்,5
apakkuvan,அபக்குவன்,5
abakari,அபகரி,4
abakaaram,அபகாரம்,5
abakeerththi,அபகீர்த்தி,4
abasagunam,அபசகுனம்,6
abachaaram,அபசாரம்,5
abaththam,அபத்தம்,4
abaththiyam,அபத்தியம்,5
abamiruththiyu,அபமிருத்தியு,6
abamiruththu,அபமிருத்து,5
abayagaram,அபயகரம்,6
abayadhaanam,அபயதானம்,6
abayappiradhaanam,அபயப்பிரதானம்,8
abayam,அபயம்,4
abayamidu,அபயமிடு,5
abayavaakku,அபயவாக்கு,5
abayan,அபயன்,4
abarakkiriyai,அபரக்கிரியை,6
aparanji,அபரஞ்சி,4
aparangyaanam,அபரஞானம்,6
aparam,அபரம்,4
aparaachidhan,அபராசிதன்,6
aparaadham,அபராதம்,5
aparaadhi,அபராதி,4
aparaajithan,அபராஜிதன்,6
aparimidham,அபரிமிதம்,6
abalai,அபலை,3
abavaadham,அபவாதம்,5
abaakkiyam,அபாக்கியம்,5
abaaNdam,அபாண்டம்,4
abaayachchangili,அபாயச்சங்கிலி,6
abaayachchangu,அபாயச்சங்கு,5
abaayam,அபாயம்,4
abaaram,அபாரம்,4
apaavam,அபாவம்,4
abaanam,அபானம்,4
abaanan,அபானன்,4
abichaaram,அபிசாரம்,5
abitegam,அபிடெகம்,5
abidhaanam,அபிதானம்,5
abinayam,அபினயம்,5
abinayi,அபினயி,4
abinavam,அபினவம்,5
abippiraayabaedham,அபிப்பிராயபேதம்,8
abippiraayam,அபிப்பிராயம்,6
abimaanam,அபிமானம்,5
abimaani,அபிமானி,4
abiraamam,அபிராமம்,5
abiraaman,அபிராமன்,5
abiraami,அபிராமி,4
abilaasai,அபிலாசை,4
abilaakshai,அபிலாக்ஷை,4
abiviruththi,அபிவிருத்தி,5
abin,அபின்,3
abini,அபினி,3
abishaegam,அபிஷேகம்,5
abeettam,அபீட்டம்,4
abeeshtam,அபீஷ்டம்,4
aboodham,அபூதம்,4
aboodhavuvamai,அபூதவுவமை,6
aboobam,அபூபம்,4
apoorNam,அபூர்ணம்,4
aboorvam,அபூர்வம்,4
apooraNam,அபூரணம்,5
apooruvam,அபூருவம்,5
apaetchagar,அபேட்சகர்,5
apaetchi,அபேட்சி,3
apaetchai,அபேட்சை,3
abaedham,அபேதம்,4
abaedhavaadham,அபேதவாதம்,6
abaedhavaadhi,அபேதவாதி,5
apaekshagar,அபேக்ஷகர்,5
apaekshi,அபேக்ஷி,3
apaekshai,அபேக்ஷை,3
aboachchiyam,அபோச்சியம்,5
aboadham,அபோதம்,4
aboajyam,அபோஜ்யம்,4
am,அம்,2
amsam,அம்சம்,3
ambagam,அம்பகம்,4
ambaNaththi,அம்பணத்தி,4
ambaNam,அம்பணம்,4
ambadhai,அம்பதை,3
ambar,அம்பர்,3
ambaram,அம்பரம்,4
ambal,அம்பல்,3
ambalakkaaran,அம்பலக்காரன்,6
ambalakkooththan,அம்பலக்கூத்தன்,6
ambalachchaavadi,அம்பலச்சாவடி,6
ambalam,அம்பலம்,4
ambalamaeRu,அம்பலமேறு,5
ambalavaaNan,அம்பலவாணன்,6
ambaRaaththooNi,அம்பறாத்தூணி,5
ambaa,அம்பா,2
ambaaram,அம்பாரம்,4
ambaari,அம்பாரி,3
ambaaL,அம்பாள்,3
ambi,அம்பி,2
ambikaapadhi,அம்பிகாபதி,5
ambigai,அம்பிகை,3
ambigaibaagan,அம்பிகைபாகன்,6
ambu,அம்பு,2
ambukkudhai,அம்புக்குதை,4
ambukkuppi,அம்புக்குப்பி,4
ambusam,அம்புசம்,4
ambusaadham,அம்புசாதம்,5
ambusaadhan,அம்புசாதன்,5
ambudham,அம்புதம்,4
ambudhi,அம்புதி,3
ambuyam,அம்புயம்,4
ambuyan,அம்புயன்,4
ambuyai,அம்புயை,3
amburaasi,அம்புராசி,4
amburugam,அம்புருகம்,5
ambuli,அம்புலி,3
ambulipparuvam,அம்புலிப்பருவம்,7
ambulimaan,அம்புலிமான்,5
ambuliyammaan,அம்புலியம்மான்,6
ambujam,அம்புஜம்,4
ambai,அம்பை,2
amboa,அம்போ,2
amboadharangam,அம்போதரங்கம்,6
amboadharam,அம்போதரம்,5
amboadhi,அம்போதி,3
amboarugam,அம்போருகம்,5
amboarugan,அம்போருகன்,5
amboarugai,அம்போருகை,4
amma,அம்ம,2
ammakoa,அம்மகோ,3
ammattil,அம்மட்டில்,4
ammattu,அம்மட்டு,3
ammattukku,அம்மட்டுக்கு,4
ammaNakkattai,அம்மணக்கட்டை,5
ammaNaththaar,அம்மணத்தார்,5
ammaNam,அம்மணம்,4
ammaNi,அம்மணி,3
ammam,அம்மம்,3
ammamma,அம்மம்ம,3
amman,அம்மன்,3
ammankattu,அம்மன்கட்டு,4
ammanai,அம்மனை,3
ammaa,அம்மா,2
ammaa,அம்மா,2
ammaachchi,அம்மாச்சி,3
ammaanji,அம்மாஞ்சி,3
ammaadi,அம்மாடி,3
ammaami,அம்மாமி,3
ammaar,அம்மார்,3
ammaaL,அம்மாள்,3
ammaRu,அம்மறு,3
ammaan,அம்மான்,3
ammaanseer,அம்மான்சீர்,4
ammaansaei,அம்மான்சேஇ,4
ammaanai,அம்மானை,3
ammaanaipparuvam,அம்மானைப்பருவம்,7
ammaanaivari,அம்மானைவரி,5
ammi,அம்மி,2
ammikkal,அம்மிக்கல்,4
ammikkuzhavi,அம்மிக்குழவி,5
ammai,அம்மை,2
ammaikkattu,அம்மைக்கட்டு,4
ammaikuththal,அம்மைகுத்தல்,5
ammaiththazhumbu,அம்மைத்தழும்பு,5
ammaippaal,அம்மைப்பால்,4
ammaipoattu,அம்மைபோட்டு,4
ammaiyappar,அம்மையப்பர்,5
ammaiyaar,அம்மையார்,4
ammaivaar,அம்மைவார்,4
ammaiviLaiyaattu,அம்மைவிளையாட்டு,6
amangalam,அமங்கலம்,5
amangali,அமங்கலி,4
amangalai,அமங்கலை,4
amasam,அமசம்,4
amadu,அமடு,3
amanji,அமஞ்சி,3
amaN,அமண்,3
amaNdam,அமண்டம்,4
amaNdalam,அமண்டலம்,5
amaNpaazhi,அமண்பாழி,4
amaNam,அமணம்,4
amaNar,அமணர்,4
amaNanpaazhi,அமணன்பாழி,5
amayam,அமயம்,4
amar,அமர்,3
amarkkaLam,அமர்க்களம்,5
amarththu,அமர்த்து,3
amarvu,அமர்வு,3
amara,அமர,3
amaragoasam,அமரகோசம்,6
amarasingar,அமரசிங்கர்,6
amarapakkam,அமரபக்கம்,6
amarapatcham,அமரபட்சம்,6
amarapaksham,அமரபக்ஷம்,6
amaram,அமரம்,4
amarar,அமரர்,4
amararkoan,அமரர்கோன்,5
amaraapadhi,அமராபதி,5
amaraar,அமரார்,4
amaraavadhi,அமராவதி,5
amari,அமரி,3
amarikkai,அமரிக்கை,4
amaridham,அமரிதம்,5
amaraesan,அமரேசன்,5
amal,அமல்,3
amalsei,அமல்செஇ,4
amaldhaar,அமல்தார்,4
amalam,அமலம்,4
amalan,அமலன்,4
amalai,அமலை,3
amaLi,அமளி,3
amaLigumaLi,அமளிகுமளி,6
amaLidhumaLi,அமளிதுமளி,6
amaLai,அமளை,3
amaaththiyan,அமாத்தியன்,5
amaavaasai,அமாவாசை,4
amaanaththu,அமானத்து,4
amaanam,அமானம்,4
amisam,அமிசம்,4
amisai,அமிசை,3
amiththiran,அமித்திரன்,5
amiththai,அமித்தை,3
amidham,அமிதம்,4
amidhavaadhi,அமிதவாதி,5
amir,அமிர்,3
amirdhakalai,அமிர்தகலை,5
amirdhakiraNan,அமிர்தகிரணன்,7
amirdhasanjeevi,அமிர்தசஞ்சீவி,6
amirdham,அமிர்தம்,4
amirdhan,அமிர்தன்,4
amiram,அமிரம்,4
amirudham,அமிருதம்,5
amirudhai,அமிருதை,4
amildhaar,அமில்தார்,4
amilam,அமிலம்,4
amizh,அமிழ்,3
amizhththu,அமிழ்த்து,3
amizhdham,அமிழ்தம்,4
amizhdhu,அமிழ்து,3
aminaa,அமினா,3
ameer,அமீர்,3
ameen,அமீன்,3
ameenaa,அமீனா,3
amukkan,அமுக்கன்,4
amukku,அமுக்கு,3
amugam,அமுகம்,4
amungu,அமுங்கு,3
amusu,அமுசு,3
amudhakadigai,அமுதகடிகை,6
amudhakiraNan,அமுதகிரணன்,7
amudhasurabi,அமுதசுரபி,6
amudham,அமுதம்,4
amudhar,அமுதர்,4
amudhavalli,அமுதவல்லி,5
amudhan,அமுதன்,4
amudhu,அமுது,3
amudhusei,அமுதுசெஇ,5
amudhupadi,அமுதுபடி,5
amudhupadai,அமுதுபடை,5
amudhuRai,அமுதுறை,4
amuri,அமுரி,3
amul,அமுல்,3
amoorththan,அமூர்த்தன்,4
amoorththi,அமூர்த்தி,3
amoolam,அமூலம்,4
amendhukottai,அமெந்துகொட்டை,5
amerikkaa,அமெரிக்கா,4
amaeththiyam,அமேத்தியம்,5
amaedhaneekki,அமேதனீக்கி,5
amai,அமை,2
amaichchagam,அமைச்சகம்,5
amaichchar,அமைச்சர்,4
amaichcharavai,அமைச்சரவை,5
amaichchan,அமைச்சன்,4
amaichchiyal,அமைச்சியல்,5
amaichuchu,அமைசுசு,3
amaidhi,அமைதி,3
amaippu,அமைப்பு,3
amaiyam,அமையம்,4
amaivu,அமைவு,3
amoagam,அமோகம்,4
ayyagoa,அய்யகோ,3
ayyangaar,அய்யங்கார்,4
ayyappaadu,அய்யப்பாடு,4
ayyam,அய்யம்,3
ayyar,அய்யர்,3
ayyavi,அய்யவி,3
ayyan,அய்யன்,3
ayyanpaazhi,அய்யன்பாழி,4
ayyanaar,அய்யனார்,4
ayyaa,அய்யா,2
ayyoa,அய்யோ,2
ayakkaandham,அயக்காந்தம்,5
ayakkireevan,அயக்கிரீவன்,6
ayachchindhooram,அயச்சிந்தூரம்,6
ayaNam,அயணம்,4
ayam,அயம்,3
ayar,அயர்,3
ayarchchi,அயர்ச்சி,3
ayardhi,அயர்தி,3
ayarppu,அயர்ப்பு,3
ayarvu,அயர்வு,3
ayal,அயல்,3
ayalńaadu,அயல்நாடு,4
ayalavar,அயலவர்,5
ayalaan,அயலான்,4
ayaluRavu,அயலுறவு,5
ayan,அயன்,3
ayankaNakku,அயன்கணக்கு,5
ayantheervai,அயன்தீர்வை,4
ayanmai,அயன்மை,3
ayanam,அயனம்,4
ayanamaNdalam,அயனமண்டலம்,7
ayaa,அயா,2
ayaavuyirththal,அயாவுயிர்த்தல்,6
ayindhiram,அயிந்திரம்,5
ayir,அயிர்,3
ayiraaNi,அயிராணி,4
ayiraavaNam,அயிராவணம்,6
ayiraavadham,அயிராவதம்,6
ayirai,அயிரை,3
ayil,அயில்,3
ayiRal,அயிறல்,4
ayini,அயினி,3
ayinińeer,அயினிநீர்,5
ayuktham,அயுக்தம்,4
ayuththam,அயுத்தம்,4
ayudham,அயுதம்,4
ayoakkiyadhai,அயோக்கியதை,5
ayoakkiyam,அயோக்கியம்,5
ayoakkiyan,அயோக்கியன்,5
ar,அர்,2
arkkam,அர்க்கம்,3
arkkiyam,அர்க்கியம்,4
archchagan,அர்ச்சகன்,4
archchanai,அர்ச்சனை,3
archchi,அர்ச்சி,2
archchai,அர்ச்சை,2
arththakoaLam,அர்த்தகோளம்,5
arththachandhiram,அர்த்தசந்திரம்,6
arththasaaththiram,அர்த்தசாத்திரம்,6
arththasaamam,அர்த்தசாமம்,5
arththanaasam,அர்த்தனாசம்,5
arththańaareesuvaran,அர்த்தநாரீசுவரன்,8
arththaputti,அர்த்தபுட்டி,4
arththapushti,அர்த்தபுஷ்டி,4
arththabaedham,அர்த்தபேதம்,5
arththam,அர்த்தம்,3
arththamaNdabam,அர்த்தமண்டபம்,6
arththaraaththiri,அர்த்தராத்திரி,5
arththavaedham,அர்த்தவேதம்,5
arththajaamam,அர்த்தஜாமம்,5
arththaabaththi,அர்த்தாபத்தி,4
arththaalangaaram,அர்த்தாலங்காரம்,6
arppaNam,அர்ப்பணம்,4
arppaNi,அர்ப்பணி,3
arppi,அர்ப்பி,2
ara,அர,2
arakkapparakka,அரக்கப்பரக்க,6
arakkan,அரக்கன்,4
arakki,அரக்கி,3
arakkinada,அரக்கினட,5
arakku,அரக்கு,3
arakkumanjaL,அரக்குமஞ்சள்,6
arangańaadhan,அரங்கநாதன்,6
arangam,அரங்கம்,4
arangu,அரங்கு,3
arangaetRu,அரங்கேற்று,4
aragaeRu,அரகேறு,4
arasamaram,அரசமரம்,6
arasamullai,அரசமுல்லை,5
arasalpurasal,அரசல்புரசல்,7
arasavaagai,அரசவாகை,5
arasavai,அரசவை,4
arasan,அரசன்,4
arasaangam,அரசாங்கம்,5
arasaatchi,அரசாட்சி,4
arasaaNi,அரசாணி,4
arasaaL,அரசாள்,4
arasaakshi,அரசாக்ஷி,4
arasi,அரசி,3
arasidhazh,அரசிதழ்,5
arasiyal,அரசியல்,5
arasiyalkaidhi,அரசியல்கைதி,6
arasiyalsattam,அரசியல்சட்டம்,7
arasiyalsaasanam,அரசியல்சாசனம்,8
arasiyalvaadhi,அரசியல்வாதி,6
arasirukkai,அரசிருக்கை,5
arasiRai,அரசிறை,4
arasu,அரசு,3
arasukkattil,அரசுக்கட்டில்,6
arasusei,அரசுசெஇ,5
arasudaimai,அரசுடைமை,5
arasudaimaiyaakku,அரசுடைமையாக்கு,7
arasuvaa,அரசுவா,4
arattal,அரட்டல்,4
arattan,அரட்டன்,4
arattuppurattu,அரட்டுப்புரட்டு,6
arattaiyadi,அரட்டையடி,5
araN,அரண்,3
araNmanai,அரண்மனை,4
araNyam,அரண்யம்,4
araNam,அரணம்,4
araNi,அரணி,3
araNiyam,அரணியம்,5
araNai,அரணை,3
araNaippuththi,அரணைப்புத்தி,5
araththagam,அரத்தகம்,5
araththam,அரத்தம்,4
araththan,அரத்தன்,4
araththai,அரத்தை,3
aradhanam,அரதனம்,5
arańdhai,அரந்தை,3
arappu,அரப்பு,3
arabi,அரபி,3
aram,அரம்,3
arambu,அரம்பு,3
arambai,அரம்பை,3
aramagaL,அரமகள்,5
aramangai,அரமங்கை,4
aramadandhai,அரமடந்தை,5
aramaadhar,அரமாதர்,5
aramiyam,அரமியம்,5
arayan,அரயன்,4
aravakkodiyoan,அரவக்கொடியோன்,7
aravagiri,அரவகிரி,5
aravanjei,அரவஞ்செஇ,5
aravaNińdhoan,அரவணிந்தோன்,6
aravaNai,அரவணை,4
aravaNaiththal,அரவணைத்தல்,6
aravappagai,அரவப்பகை,5
aravam,அரவம்,4
aravar,அரவர்,4
aravaabaraNan,அரவாபரணன்,7
aravińdham,அரவிந்தம்,5
aravińdhan,அரவிந்தன்,5
aravińdhai,அரவிந்தை,4
aravu,அரவு,3
aravuyarththoan,அரவுயர்த்தோன்,6
araL,அரள்,3
araLi,அரளி,3
aratRu,அரற்று,3
aran,அரன்,3
arandhoazhan,அரந்தோழன்,5
araa,அரா,2
araakkoaL,அராக்கோள்,4
araagam,அராகம்,4
araasagam,அராசகம்,5
araańdhaaNam,அராந்தாணம்,5
araapadham,அராபதம்,5
araamam,அராமம்,4
araami,அராமி,3
araaval,அராவல்,4
araavaNai,அராவணை,4
araajagam,அராஜகம்,5
ari,அரி,2
arikaNdam,அரிகண்டம்,5
arikaNdam paadudhal,அரிகண்டம் பாடுதல்,8
arigarapuththiran,அரிகரபுத்திரன்,8
arigaran,அரிகரன்,5
arigaRaiyaan,அரிகறையான்,6
arigaal,அரிகால்,4
arichchuvadi,அரிச்சுவடி,5
arisam,அரிசம்,4
arisayam,அரிசயம்,5
arisalam,அரிசலம்,5
arisanam,அரிசனம்,5
arisi,அரிசி,3
arisirangu,அரிசிரங்கு,5
arisu,அரிசு,3
arittam,அரிட்டம்,4
ariNam,அரிணம்,4
ariNai,அரிணை,3
arththai,அர்த்தை,2
aridhagi,அரிதகி,4
aridham,அரிதம்,4
aridhaaram,அரிதாரம்,5
aridhaaL,அரிதாள்,4
aridhu,அரிது,3
arippariththal,அரிப்பரித்தல்,6
arippiNaa,அரிப்பிணா,4
arippu,அரிப்பு,3
arippukkoodai,அரிப்புக்கூடை,5
arimaNal,அரிமணல்,5
arimaNai,அரிமணை,4
arimaa,அரிமா,3
arimaańoakku,அரிமாநோக்கு,5
ariya,அரிய,3
ariyaNai,அரியணை,4
ariyaasanam,அரியாசனம்,6
ariyaeRu,அரியேறு,4
aril,அரில்,3
arivari,அரிவரி,4
arivaaL,அரிவாள்,4
arivaaLmaNai,அரிவாள்மணை,5
arivai,அரிவை,3
arishtam,அரிஷ்டம்,4
aru,அரு,2
arukkam,அருக்கம்,4
arukkan,அருக்கன்,4
arukkiyam,அருக்கியம்,5
arugaNmai,அருகண்மை,4
arugadhai,அருகதை,4
arugańdhar,அருகந்தர்,5
arugam,அருகம்,4
arugar,அருகர்,4
arugal,அருகல்,4
arugan,அருகன்,4
arugaamai,அருகாமை,4
arugil,அருகில்,4
arugu,அருகு,3
arungalam,அருங்கலம்,5
arungalaivinoadhan,அருங்கலைவினோதன்,8
arungaedan,அருங்கேடன்,5
arungoadai,அருங்கோடை,4
aruchchagan,அருச்சகன்,5
aruchchanai,அருச்சனை,4
aruchchi,அருச்சி,3
aruchchunam,அருச்சுனம்,5
arunjiRai,அருஞ்சிறை,4
arunjuram,அருஞ்சுரம்,5
arutkuRi,அருட்குறி,4
arutsiththi,அருட்சித்தி,4
arutsoadhi,அருட்சோதி,4
aruttu,அருட்டு,3
arutpaa,அருட்பா,3
aruNagiri,அருணகிரி,5
aruNam,அருணம்,4
aruNan,அருணன்,4
aruNaachalam,அருணாசலம்,6
aruNoadhayam,அருணோதயம்,6
aruththańool,அருத்தநூல்,5
aruththam,அருத்தம்,4
aruththaabaththi,அருத்தாபத்தி,5
aruththi,அருத்தி,3
aruththu,அருத்து,3
aruńdhadhi,அருந்ததி,4
aruńdhal,அருந்தல்,4
aruńdhu,அருந்து,3
aruńilam,அருநிலம்,5
aruńizhal,அருநிழல்,5
aruńelli,அருநெல்லி,4
aruńeRi,அருநெறி,4
aruppam,அருப்பம்,4
arum,அரும்,3
arumbadhavurai,அரும்பதவுரை,6
arumbar,அரும்பர்,4
arumbaavi,அரும்பாவி,4
arumpinju,அரும்பிஞ்சு,4
arumbiNi,அரும்பிணி,4
arumbu,அரும்பு,3
arumbeRal,அரும்பெறல்,5
arumańdha,அருமந்த,4
arumańdhanna,அருமந்தன்ன,5
arumaruńdhu,அருமருந்து,5
arumai,அருமை,3
aruvam,அருவம்,4
aruvar,அருவர்,4
aruvaru,அருவரு,4
aruvan,அருவன்,4
aruvaańaadu,அருவாநாடு,5
aruvi,அருவி,3
aruvuru,அருவுரு,4
aruvuruvam,அருவுருவம்,6
aruL,அருள்,3
aruLvaakku,அருள்வாக்கு,4
aruLaaLan,அருளாளன்,5
aruLichchei,அருளிச்செஇ,5
aruLichcheyal,அருளிச்செயல்,6
aroobam,அரூபம்,4
aroobi,அரூபி,3
arai,அரை,2
araikkachchu,அரைக்கச்சு,4
araikkaal,அரைக்கால்,4
araikkeerai,அரைக்கீரை,4
araigal,அரைகல்,4
araiguRai,அரைகுறை,4
araichchattai,அரைச்சட்டை,4
araisan,அரைசன்,4
araisu,அரைசு,3
araingyaan,அரைஞான்,4
araińaa,அரைநா,3
araińaaN,அரைநாண்,4
araińaaL,அரைநாள்,4
araippattigai,அரைப்பட்டிகை,5
araippu,அரைப்பு,3
araippuLLi,அரைப்புள்ளி,4
araiyar,அரையர்,4
araiyalan,அரையலன்,5
araiyan,அரையன்,4
araiyaappu,அரையாப்பு,4
araiyiRudhi,அரையிறுதி,5
araivaekkaadu,அரைவேக்காடு,5
al,அல்,2
algal,அல்கல்,3
algaa,அல்கா,2
algu,அல்கு,2
algul,அல்குல்,3
alpam,அல்பம்,3
alla,அல்ல,2
allangaadi,அல்லங்காடி,4
alladhu,அல்லது,3
alladhooum,அல்லதூஉம்,5
alladhai,அல்லதை,3
allam,அல்லம்,3
allal,அல்லல்,3
allavaa,அல்லவா,3
allavai,அல்லவை,3
allana,அல்லன,3
allaa,அல்லா,2
allaattam,அல்லாட்டம்,4
alladu,அல்லடு,3
allaadudhal,அல்லாடுதல்,5
allaaththal,அல்லாத்தல்,4
allaamal,அல்லாமல்,4
allaal,அல்லால்,3
alli,அல்லி,2
alliyam,அல்லியம்,4
alliruL,அல்லிருள்,4
allum pagalum,அல்லும் பகலும்,6
alloalakalloalam,அல்லோலகல்லோலம்,7
alvazhi,அல்வழி,3
alvazhippuNarchchi,அல்வழிப்புணர்ச்சி,6
